GEO_ID,NAME,Gini_Index_2010,Gini_Index_2019,Total_Population_2010,Total_Population_2019,Civilians_Employed_Over_16_2012,Civilians_Employed_Over16_2019,Number_Employed_NAICS11_Industry_2012,Number_Employed_NAICS11_Industry_2019,Number_Employed_NAICS71_Industry_2012,Number_Employed_NAICS71_Industry_2019,Population_Poverty_Status_Determined2012,Population_Poverty_Status_Determined2019,Percent_Population_Poverty_Status_Determined2012,Percent_Population_Poverty_Status_Determined2019,Number_Households_2012,Number_Households_2019,Median_Income_Households_2012,Median_Income_Households_2019,Population_18to24years_2012,Population_18to24years_2019,pct_less_than_highschool_graduate_2012,pct_less_than_highschool_graduate_2019,pct_highschool_graduate_equivalency_2012,pct_highschool_graduate_equivalency_2019,pct_some_college_associates_degree_2012,pct_some_college_associates_2019,pct_bachelors_degree_higher_2012,Population_25years_older_2012,Population_25years_older_2019,pct_highschool_graduate_or_higher_2012,pct_highschool_graduate_higher_2019,pct_bachelors_degree_or_higher_2012,pct_bachelors_degree_higher_2019,RetireTotal,RetirementIncome,NoRetirementIncome
0600000US4100991190,"Goble CCD, Columbia County, Oregon",0.331,0.3855,2272,2435,1038,952,70,28,67,65,2387,2435,11.4,18.1,903,930,59112,58900,165,157,6.7,28,32.7,39.5,60.6,29.3,0,1611,1789,89,88.4,12.3,14.6,930,329,601
0600000US4100992601,"Rainier CCD, Columbia County, Oregon",0.419,0.4131,4129,4891,1722,1723,158,71,157,144,3909,4833,18.2,10.7,1606,1727,48654,54125,347,326,30.5,33.1,43.5,38.7,25.9,25.8,0,2848,3589,85.9,89.5,16.9,17.5,1727,531,1196
0600000US4100992703,"St. Helens CCD, Columbia County, Oregon",0.365,0.4158,23098,24149,10093,10838,102,192,521,740,22733,23835,14.1,11.8,8747,9160,58880,65321,1831,1733,22.6,8.7,41.9,47,34.2,42,1.4,15494,17143,90,90.9,18.1,17.2,9160,2443,6717
0600000US4100992805,"Scappoose CCD, Columbia County, Oregon",0.399,0.4537,9232,9880,3878,5034,58,167,218,382,9394,9778,15.2,8.6,3751,3910,54456,79052,699,626,10.4,24.3,36.5,39.9,50.2,32.1,2.9,6411,6927,89.7,94.2,19.7,26.9,3910,869,3041
0600000US4100993332,"Vernonia CCD, Columbia County, Oregon",0.378,0.3671,3814,3384,1648,1437,177,80,91,56,3529,3355,6.9,7.7,1400,1333,55900,62780,244,183,18,5.5,48.8,31.1,20.9,60.7,12.3,2538,2505,87.2,89,16,17.7,1333,372,961
0600000US4101190221,"Bandon CCD, Coos County, Oregon",0.447,0.4636,5742,6398,2286,2053,277,66,361,599,5589,6316,13.4,15.2,3127,3043,34912,34076,47,511,68.1,17.6,31.9,21.5,0,54,0,4956,5001,89.7,88.7,19.1,18.5,3043,928,2115
0600000US4101190629,"Coos Bay CCD, Coos County, Oregon",0.453,0.4744,31109,31733,12376,13582,419,567,1730,1821,31284,31318,20.4,17.9,12852,13170,37886,48398,3036,2433,26.4,25.2,37.7,35.9,35.4,33.2,0.5,21716,22717,88.9,88.9,17.7,19.1,13170,3710,9460
0600000US4101190646,"Coquille CCD, Coos County, Oregon",0.435,0.4418,7952,7814,3250,2944,244,192,292,240,7938,7581,9.7,11.1,3232,3403,39444,39351,670,402,33.1,24.4,41.9,30.3,17.8,38.6,7.2,6321,6216,84.7,90.3,17.5,13.2,3403,1166,2237
0600000US4101191003,"Eastside CCD, Coos County, Oregon",0.424,0.3733,6080,5999,2244,2591,20,228,211,120,5815,5948,16.8,9.9,2457,2384,42842,60227,276,384,13,38.3,51.8,35.2,27.2,26.6,8,4441,4470,88.7,88.2,19.6,22.2,2384,831,1553
0600000US4101192074,"Myrtle Point CCD, Coos County, Oregon",0.433,0.4704,4730,4586,1702,1528,192,176,90,142,4343,4538,23.9,19.4,1966,2006,29785,38125,319,297,23.2,31,55.8,48.1,18.8,17.5,2.2,3293,3557,83,88.4,16.7,15.3,2006,499,1507
0600000US4101192159,"North Bayside CCD, Coos County, Oregon",0.468,0.4379,6614,5729,2272,1911,120,247,208,99,5369,5491,10.1,13.9,2488,2489,42500,43057,291,221,9.6,40.7,49.1,24.9,41.2,34.4,0,4559,4590,87,88.2,18.8,15.8,2489,834,1655
0600000US4101192567,"Powers CCD, Coos County, Oregon",0.343,0.4365,1092,1427,366,419,55,44,0,9,1276,1427,17.1,32.7,445,530,39464,34286,183,72,29,18.1,47,9.7,24,72.2,0,897,1028,90.5,86.1,7,8.9,530,151,379
0600000US4101390765,"Crooked River CCD, Crook County, Oregon",0.412,0.3641,3479,4242,1108,1367,173,127,74,100,3599,4231,16.2,9.8,1562,1816,40052,53021,199,97,34.7,46.4,32.2,35.1,27.6,18.6,5.5,2729,3486,89.1,88.5,11.5,13.3,1816,686,1130
0600000US4101392550,"Powell Butte CCD, Crook County, Oregon",0.332,0.4213,2304,2664,935,1217,54,78,0,100,2397,2664,11.8,5.3,976,965,66983,95448,31,183,0,45.4,67.7,28.4,32.3,26.2,0,1844,2114,95.9,98,34.5,34,965,391,574
0600000US4101392592,"Prineville CCD, Crook County, Oregon",0.368,0.4036,15732,16105,5676,6593,293,247,581,723,14917,16016,18.5,15.8,6207,6807,36713,43706,1055,1048,23.9,22.1,48.4,50.3,27.7,26,0,10661,11524,82.6,89,11.7,19.1,6807,1980,4827
0600000US4101590051,"Agness CCD, Curry County, Oregon",0.515,0.2567,111,48,46,19,0,0,26,0,90,48,44.4,0,24,30,53750,-,0,0,-,-,-,-,-,-,-,90,48,91.1,62.5,0,0,30,0,30
0600000US4101590357,"Brookings CCD, Curry County, Oregon",0.445,0.3943,9260,8970,3533,3371,108,135,455,355,9037,8884,8.4,9.3,4114,4010,43929,58382,594,373,17.7,17.7,54.5,70.5,27.8,7,0,6963,7090,92.1,93.7,19.1,27.3,4010,1151,2859
0600000US4101591207,"Gold Beach CCD, Curry County, Oregon",0.422,0.4693,4987,5734,2218,2157,27,160,380,486,5219,5662,13.4,9.7,2317,2575,41181,51317,307,221,25.7,44.3,38.4,33.9,32.9,21.7,2.9,3961,4623,90,92.5,21.5,20.6,2575,815,1760
0600000US4101591275,"Harbor CCD, Curry County, Oregon",0.432,0.458,4982,5231,1305,1227,115,18,187,101,4499,5224,16.1,14.5,2300,2557,35229,37896,216,320,29.2,16.6,61.6,70.6,8.8,12.8,0.5,3750,4254,91.2,81.6,21.1,23,2557,1067,1490
0600000US4101592533,"Port Orford CCD, Curry County, Oregon",0.469,0.4418,3071,2667,1005,843,168,78,195,164,3374,2667,24.6,24.6,1565,1374,31229,32447,174,133,5.7,4.5,65.5,56.4,28.7,39.1,0,2697,2289,87.7,92,22.1,27.8,1374,335,1039
0600000US4101790306,"Bend CCD, Deschutes County, Oregon",0.436,0.4587,85613,106106,42028,53525,820,1116,6411,6515,87502,105400,11.5,10.2,36489,42738,54202,68369,6156,6914,14.3,16.1,32.6,25.9,45.7,42.3,7.4,61463,76189,94.2,95.4,36.8,42.9,42738,9296,33442
0600000US4101792635,"Redmond CCD, Deschutes County, Oregon",0.387,0.3816,34609,40225,14839,20024,517,340,1718,2628,35937,40065,18.9,12.3,13907,15285,43678,65144,3367,3229,14.7,20.5,43.5,32.5,37.3,42.4,4.4,23646,28361,89.9,88.5,18.5,20,15285,3286,11999
0600000US4101792958,"Sisters-Millican CCD, Deschutes County, Oregon",0.433,0.4524,27961,31671,11061,13697,268,610,1536,1814,27591,31559,12.3,12.3,11224,12853,46482,64596,1670,2225,11.4,12.5,46.9,44.3,34.7,36.9,7.1,20581,24160,91.8,93.4,24.3,27.8,12853,3600,9253
0600000US4101793247,"Tumalo CCD, Deschutes County, Oregon",0.425,0.3838,6385,8249,2830,3846,48,182,328,649,6712,8163,6,5.3,2839,3521,67034,82767,456,388,6.8,8.2,26.1,47.4,62.3,38.9,4.8,5196,6905,96.4,97.6,35.8,42.3,3521,1313,2208
0600000US4101991054,"Elkton-Drain CCD, Douglas County, Oregon",0.384,0.3998,2896,2193,1082,1009,83,112,44,74,2783,2193,10,7.4,1045,993,42875,49886,207,105,33.8,54.3,42.5,22.9,23.7,22.9,0,2079,1779,82,94,9.2,9.1,993,251,742
0600000US4101991547,"Kellogg-Yoncalla CCD, Douglas County, Oregon",0.412,0.398,3657,3765,1307,1332,100,155,123,124,3840,3745,21.5,13,1643,1723,35893,46743,145,233,37.2,36.1,31,33,31.7,30.9,0,3049,2955,88,92.6,10.6,14.3,1723,599,1124
0600000US4101991853,"Melrose CCD, Douglas County, Oregon",0.384,0.4598,5120,5160,1951,2065,95,81,119,121,4983,5117,12,7.6,2031,2056,52223,55333,123,232,0.8,9.9,18.7,33.2,69.9,49.6,10.6,3921,4122,90.9,96.5,29.4,17.5,2056,719,1337
0600000US4101992057,"Myrtle Creek-Riddle CCD, Douglas County, Oregon",0.378,0.4154,13546,14489,5359,5130,354,441,1048,861,14145,14280,20.8,20.2,5528,5592,40000,44531,1270,847,23.2,24.4,36.1,39.3,40.6,36.2,0,10107,10373,79.6,84.8,8.9,9.9,5592,1735,3857
0600000US4101992244,"North Umpqua CCD, Douglas County, Oregon",0.373,0.4126,4685,5300,1783,2039,154,275,183,172,4758,5228,19.6,17.6,1920,2161,42083,49668,280,528,5,18.8,67.9,37.7,27.1,43.6,0,3590,3862,91.2,92.4,16.8,19.5,2161,594,1567
0600000US4101992652,"Reedsport CCD, Douglas County, Oregon",0.452,0.39,5813,5899,2013,2158,156,116,342,186,5799,5848,18.4,16.8,2621,2577,33149,40301,394,276,36,11.2,23.6,42,40.1,46.7,0.3,4392,4507,82.2,87,15.5,10.2,2577,786,1791
0600000US4101992686,"Roseburg CCD, Douglas County, Oregon",0.429,0.4378,41540,41252,16611,17402,568,743,1712,1689,41006,40512,18.1,12.1,17430,17616,38955,48083,3790,2980,19.4,15.5,32,48,46.4,32.1,2.2,29217,30113,89.4,90,18.4,21.5,17616,4630,12986
0600000US4101993060,"South Umpqua CCD, Douglas County, Oregon",0.383,0.4343,4198,4120,1562,1330,171,149,221,153,4146,4112,18,22,1741,1870,40709,36165,343,180,36.7,53.9,28.9,17.2,34.4,28.9,0,3074,3432,85.9,86,10.3,13,1870,469,1401
0600000US4101993153,"Sutherlin CCD, Douglas County, Oregon",0.418,0.4595,15969,16464,5654,6463,369,296,483,827,15194,16406,12.7,16.5,6205,6866,43848,50399,837,1285,28.6,13.4,31.5,54.9,39.9,21.8,0,11358,12108,87.2,90.7,14,20.7,6866,2302,4564
0600000US4101993179,"Tenmile CCD, Douglas County, Oregon",0.371,0.4565,9785,10472,3710,4363,159,261,206,478,9691,10396,22.1,14.2,3514,4002,38824,47457,693,717,18.9,12.1,33.9,40.2,42.4,46,4.8,6652,7318,85.6,88.6,9.2,13.2,4002,1157,2845
0600000US4102190102,"Arlington CCD, Gilliam County, Oregon",0.301,0.3454,791,908,406,440,44,39,21,38,875,908,15.2,12.3,356,354,56296,58000,53,54,0,68.5,30.2,31.5,60.4,0,9.4,617,623,90.4,91.2,20.6,19.1,354,44,310
0600000US4102190612,"Condon CCD, Gilliam County, Oregon",0.422,0.3959,940,970,527,372,111,41,13,46,1014,960,10.4,8.5,538,488,40714,43654,28,27,0,51.9,35.7,25.9,42.9,22.2,21.4,845,801,89,89,12.9,16.1,488,110,378
0600000US4102391462,"John Day CCD, Grant County, Oregon",0.416,0.4504,4868,5009,2010,2045,218,245,272,186,4861,4942,17.4,19,2262,2328,34178,41172,343,243,33.2,28,50.1,34.2,12.8,26.3,3.8,3568,3789,88.2,88.4,19.7,18.2,2328,671,1657
0600000US4102391683,"Long Creek CCD, Grant County, Oregon",0.469,0.4714,902,710,320,293,82,127,6,6,889,710,11.9,17.6,391,387,33693,45268,44,24,27.3,25,27.3,16.7,45.5,58.3,0,687,591,88.6,84.8,10.6,20.5,387,129,258
0600000US4102392584,"Prairie City CCD, Grant County, Oregon",0.428,0.388,1305,1175,538,487,123,81,11,15,1289,1136,14.2,17.1,590,522,32500,51786,41,79,31.7,12.7,0,25.3,56.1,62,12.2,1031,921,90.8,92.8,17.7,21.6,522,182,340
0600000US4102392856,"Seneca CCD, Grant County, Oregon",0.503,0.3584,274,295,157,147,104,50,1,10,242,295,3.3,8.1,133,144,46850,56500,3,25,0,0,0,0,100,84,0,230,231,90.4,90,1.7,17.3,144,53,91
0600000US4102590391,"Burns CCD, Harney County, Oregon",0.402,0.4134,5301,5276,2161,2097,252,166,281,208,4994,5139,17.7,10.1,2302,2464,38182,37652,485,382,33,18.3,46.2,47.1,20.8,34.3,0,3609,3897,88.7,91.9,14.9,17.7,2464,631,1833
0600000US4102590901,"Diamond CCD, Harney County, Oregon",0.41,0.475,882,528,461,278,303,157,40,25,924,525,25,15.4,338,248,45500,56000,35,30,42.9,16.7,34.3,43.3,11.4,40,11.4,597,415,87.9,95.2,16.1,21.9,248,45,203
0600000US4102590918,"Drewsey CCD, Harney County, Oregon",0.438,0.4466,1181,1463,595,599,308,179,13,31,1297,1463,20.4,10.4,546,532,40278,53478,86,33,16.3,12.1,64,54.5,2.3,33.3,17.4,901,1011,93.2,89,18.9,19.9,532,95,437
0600000US4102790476,"Cascade Locks CCD, Hood River County, Oregon",0.33,0.4099,1004,1328,416,492,48,43,57,92,1004,1322,15.9,7.7,416,546,41111,51964,68,96,20.6,25,26.5,31.3,45.6,43.8,7.4,690,864,83,87.8,16.1,14.6,546,122,424
0600000US4102790850,"Dee CCD, Hood River County, Oregon",0.355,0.338,1185,1158,715,611,219,140,51,62,1358,1152,16.6,0.4,313,316,62458,74348,263,50,9.1,30,71.1,70,19.8,0,0,735,760,61.2,81.6,14.3,28.3,316,43,273
0600000US4102791343,"Hood River CCD, Hood River County, Oregon",0.421,0.4126,12471,12903,6496,6933,414,488,934,963,12488,12792,7.6,4.9,5116,5435,58689,71863,761,856,26,36.4,34,27.1,24.6,33.1,15.4,8645,9126,90,87.4,34.9,40.3,5435,1060,4375
0600000US4102792380,"Odell CCD, Hood River County, Oregon",0.389,0.5087,5568,5721,2842,2867,941,738,140,152,5683,5670,14.6,4.7,1690,1736,53855,63739,403,565,31.5,14.9,39,38.8,23.8,43.9,5.7,3700,3639,68.1,66.9,12.9,18.5,1736,343,1393
